,columns,missing values count
0,Sensor - 1,5
1,Sensor - 2,16
2,Sensor - 3,67
3,Sensor - 4,67
4,Sensor - 5,67
5,Sensor - 6,67
6,Sensor - 7,67
7,Sensor - 8,44
8,Sensor - 9,12
9,Sensor - 10,12
10,Sensor - 11,12
11,Sensor - 12,12
12,Sensor - 13,12
13,Sensor - 14,18
14,Sensor - 15,18
15,Sensor - 16,18
16,Sensor - 17,18
17,Sensor - 18,18
18,Sensor - 19,18
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,5
22,Sensor - 23,5
23,Sensor - 24,5
24,Sensor - 25,5
25,Sensor - 26,5
26,Sensor - 27,5
27,Sensor - 28,5
28,Sensor - 29,5
29,Sensor - 30,5
30,Sensor - 31,5
31,Sensor - 32,5
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,78
41,Sensor - 42,78
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,5
54,Sensor - 55,5
55,Sensor - 56,5
56,Sensor - 57,5
57,Sensor - 58,5
58,Sensor - 59,5
59,Sensor - 60,27
60,Sensor - 61,27
61,Sensor - 62,27
62,Sensor - 63,27
63,Sensor - 64,27
64,Sensor - 65,27
65,Sensor - 66,27
66,Sensor - 67,27
67,Sensor - 68,27
68,Sensor - 69,27
69,Sensor - 70,27
70,Sensor - 71,27
71,Sensor - 72,27
72,Sensor - 73,2855
73,Sensor - 74,2855
74,Sensor - 75,27
75,Sensor - 76,144
76,Sensor - 77,144
77,Sensor - 78,144
78,Sensor - 79,144
79,Sensor - 80,144
80,Sensor - 81,144
81,Sensor - 82,144
82,Sensor - 83,144
83,Sensor - 84,6
84,Sensor - 85,10
85,Sensor - 86,3298
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,266
90,Sensor - 91,266
91,Sensor - 92,26
92,Sensor - 93,11
93,Sensor - 94,11
94,Sensor - 95,26
95,Sensor - 96,26
96,Sensor - 97,26
97,Sensor - 98,26
98,Sensor - 99,26
99,Sensor - 100,26
100,Sensor - 101,26
101,Sensor - 102,26
102,Sensor - 103,26
103,Sensor - 104,11
104,Sensor - 105,11
105,Sensor - 106,26
106,Sensor - 107,26
107,Sensor - 108,26
108,Sensor - 109,26
109,Sensor - 110,1534
110,Sensor - 111,1534
111,Sensor - 112,1534
112,Sensor - 113,3014
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,144
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,18
122,Sensor - 123,18
123,Sensor - 124,18
124,Sensor - 125,18
125,Sensor - 126,18
126,Sensor - 127,18
127,Sensor - 128,18
128,Sensor - 129,18
129,Sensor - 130,18
130,Sensor - 131,18
131,Sensor - 132,18
132,Sensor - 133,18
133,Sensor - 134,18
134,Sensor - 135,18
135,Sensor - 136,0
136,Sensor - 137,5
137,Sensor - 138,16
138,Sensor - 139,67
139,Sensor - 140,67
140,Sensor - 141,67
141,Sensor - 142,67
142,Sensor - 143,67
143,Sensor - 144,44
144,Sensor - 145,12
145,Sensor - 146,12
146,Sensor - 147,12
147,Sensor - 148,12
148,Sensor - 149,12
149,Sensor - 150,18
150,Sensor - 151,18
151,Sensor - 152,18
152,Sensor - 153,18
153,Sensor - 154,18
154,Sensor - 155,18
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,4152
158,Sensor - 159,4152
159,Sensor - 160,5
160,Sensor - 161,5
161,Sensor - 162,5
162,Sensor - 163,5
163,Sensor - 164,5
164,Sensor - 165,5
165,Sensor - 166,5
166,Sensor - 167,5
167,Sensor - 168,5
168,Sensor - 169,5
169,Sensor - 170,5
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,78
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,5
191,Sensor - 192,5
192,Sensor - 193,5
193,Sensor - 194,5
194,Sensor - 195,5
195,Sensor - 196,5
196,Sensor - 197,27
197,Sensor - 198,27
198,Sensor - 199,27
199,Sensor - 200,27
200,Sensor - 201,27
201,Sensor - 202,27
202,Sensor - 203,27
203,Sensor - 204,27
204,Sensor - 205,27
205,Sensor - 206,27
206,Sensor - 207,27
207,Sensor - 208,27
208,Sensor - 209,27
209,Sensor - 210,27
210,Sensor - 211,144
211,Sensor - 212,144
212,Sensor - 213,144
213,Sensor - 214,144
214,Sensor - 215,144
215,Sensor - 216,144
216,Sensor - 217,144
217,Sensor - 218,144
218,Sensor - 219,6
219,Sensor - 220,10
220,Sensor - 221,3298
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,266
225,Sensor - 226,266
226,Sensor - 227,26
227,Sensor - 228,11
228,Sensor - 229,11
229,Sensor - 230,26
230,Sensor - 231,26
231,Sensor - 232,26
232,Sensor - 233,26
233,Sensor - 234,26
234,Sensor - 235,26
235,Sensor - 236,26
236,Sensor - 237,26
237,Sensor - 238,26
238,Sensor - 239,11
239,Sensor - 240,11
240,Sensor - 241,26
241,Sensor - 242,26
242,Sensor - 243,26
243,Sensor - 244,26
244,Sensor - 245,1534
245,Sensor - 246,1534
246,Sensor - 247,1534
247,Sensor - 248,3014
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,144
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,18
257,Sensor - 258,18
258,Sensor - 259,18
259,Sensor - 260,18
260,Sensor - 261,18
261,Sensor - 262,18
262,Sensor - 263,18
263,Sensor - 264,18
264,Sensor - 265,18
265,Sensor - 266,18
266,Sensor - 267,18
267,Sensor - 268,18
268,Sensor - 269,18
269,Sensor - 270,18
270,Sensor - 271,0
271,Sensor - 272,5
272,Sensor - 273,16
273,Sensor - 274,67
274,Sensor - 275,67
275,Sensor - 276,67
276,Sensor - 277,67
277,Sensor - 278,67
278,Sensor - 279,44
279,Sensor - 280,12
280,Sensor - 281,12
281,Sensor - 282,12
282,Sensor - 283,12
283,Sensor - 284,12
284,Sensor - 285,18
285,Sensor - 286,18
286,Sensor - 287,18
287,Sensor - 288,18
288,Sensor - 289,18
289,Sensor - 290,18
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,4152
293,Sensor - 294,4152
294,Sensor - 295,5
295,Sensor - 296,5
296,Sensor - 297,5
297,Sensor - 298,5
298,Sensor - 299,5
299,Sensor - 300,5
300,Sensor - 301,5
301,Sensor - 302,5
302,Sensor - 303,5
303,Sensor - 304,5
304,Sensor - 305,5
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
